"Código","Escala_Cog.","Escala_Mot.","Escala_Dis.","Edad_Mes","Región","Área","Modalidad","Departamento","Quintil","Inst_Mat.","Inst_Pat.","Inst_Pre_N3"
2921,132,28,27,74,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2922,110,21,22,70,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2923,133,28,20,73,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2924,141,32,20,68,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2925,144,31,27,74,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2926,108,28,17,71,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2927,147,30,24,73,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2928,121,31,29,68,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2935,128,30,36,48,"Costa","Urbana","Cuna-Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2940,155,33,30,75,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2943,136,28,22,74,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","No"
2946,137,33,21,76,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2948,79,26,17,70,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2950,135,29,20,69,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2952,118,30,18,69,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2955,115,26,15,66,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2957,93,23,17,69,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2958,128,23,19,66,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2960,129,26,29,65,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2961,104,30,17,68,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2963,58,17,20,66,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2964,126,30,28,66,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2965,85,28,24,56,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2966,110,15,23,63,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2967,134,32,19,71,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","NS/NR"
2969,130,32,26,64,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2972,143,33,24,70,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2973,145,31,30,67,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2974,142,33,29,76,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2975,99,27,23,72,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2976,145,32,31,70,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2977,121,31,26,67,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2978,125,27,20,77,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
2979,154,35,30,71,"Costa","Urbana","Jardín","Lima Met.","5","Superior universitario completo","Superior universitario completo","Sí"
