"Código","Departamento","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
2695,"Lima Metropolitana",117,30,66,30
2696,"Lima Metropolitana",139,23,69,32
2697,"Lima Metropolitana",88,26,63,23
2700,"Lima Metropolitana",130,28,70,35
2702,"Lima Metropolitana",116,26,66,27
2703,"Lima Metropolitana",105,33,71,31
2706,"Lima Metropolitana",107,29,66,32
2708,"Lima Metropolitana",128,32,71,34
2711,"Lima Metropolitana",123,25,66,31
2712,"Lima Metropolitana",122,32,72,33
2714,"Lima Metropolitana",136,29,64,33
2715,"Lima Metropolitana",103,24,61,24
2718,"Lima Metropolitana",114,31,62,25
2720,"Lima Metropolitana",125,33,67,33
2721,"Lima Metropolitana",83,22,57,19
2724,"Lima Metropolitana",120,29,73,25
2725,"Lima Metropolitana",110,31,70,28
2730,"Lima Metropolitana",121,29,66,27
2734,"Lima Metropolitana",114,28,65,29
2735,"Lima Metropolitana",140,31,77,34
2740,"Lima Metropolitana",101,21,55,23
2741,"Lima Metropolitana",136,35,77,33
2742,"Lima Metropolitana",111,30,72,27
2744,"Lima Metropolitana",142,34,72,32
2745,"Lima Metropolitana",131,28,68,33
2747,"Lima Metropolitana",98,24,64,27
2750,"Lima Metropolitana",132,33,74,36
2752,"Lima Metropolitana",111,31,65,28
2755,"Lima Metropolitana",95,23,62,27
2757,"Lima Metropolitana",86,20,59,18
2759,"Lima Metropolitana",76,20,61,18
2764,"Lima Metropolitana",117,30,71,30
2765,"Lima Metropolitana",120,32,75,30
2767,"Lima Metropolitana",143,32,67,29
2774,"Lima Metropolitana",115,27,70,32
2775,"Lima Metropolitana",78,28,62,27
2777,"Lima Metropolitana",114,29,68,28
2778,"Lima Metropolitana",97,25,69,28
2780,"Lima Metropolitana",120,27,71,30
2783,"Lima Metropolitana",110,28,70,31
2785,"Lima Metropolitana",125,25,75,31
3252,"Lima Metropolitana",107,33,65,25
3258,"Lima Metropolitana",87,30,59,22
3284,"Lima Metropolitana",93,28,56,23
3290,"Lima Metropolitana",73,24,55,19
1072,"Loreto",146,36,67,34
939,"Cusco",143,30,43,30
940,"Cusco",145,31,44,30
3330,"Lima Metropolitana",98,31,54,22
3446,"Lima Metropolitana",86,27,59,19
2115,"Loreto",50,22,54,13
