Código,Departamento,Escala_Cog.,Escala_Mot.,Escala_Dis.
1644,Piura,80,21,33
2301,Piura,53,32,28
3036,Lima Metropolitana,69,30,24
2998,Lima Metropolitana,40,16,13
1144,Piura,59,22,16
2303,Piura,88,36,27
454,Piura,61,21,23
1152,Piura,44,22,16
1498,Cusco,68,24,25
668,Loreto,88,30,31
1334,Loreto,46,13,26
1264,Piura,48,17,17
728,Cusco,60,23,22
3035,Lima Metropolitana,59,21,22
1586,Loreto,48,20,23
2306,Piura,90,33,27
1734,Piura,26,15,12
1154,Piura,51,23,17
2495,Piura,64,21,21
672,Loreto,84,29,28
2304,Piura,115,40,36
1949,Loreto,33,15,15
1507,Cusco,66,21,18
3299,Lima Metropolitana,102,30,35
195,Cusco,63,27,19
1263,Piura,50,19,17
2550,Piura,73,27,22
1947,Loreto,53,25,22
764,Cusco,57,21,23
1793,Piura,60,15,25
658,Loreto,66,29,28
1684,Cusco,47,23,34
499,Piura,37,14,31
2837,Lima Metropolitana,108,33,32
2954,Lima Metropolitana,117,31,26
1900,Cusco,63,32,30
1899,Cusco,62,29,24
2956,Lima Metropolitana,95,23,26
2959,Lima Metropolitana,113,26,32
2057,Piura,84,36,30
2866,Lima Metropolitana,103,30,30
3004,Lima Metropolitana,88,25,30
2856,Lima Metropolitana,112,33,30
2308,Piura,55,28,25
3003,Lima Metropolitana,84,27,33
2859,Lima Metropolitana,107,30,26
3002,Lima Metropolitana,96,28,29
2942,Lima Metropolitana,89,22,28
2873,Lima Metropolitana,112,35,33
2867,Lima Metropolitana,79,33,27
2945,Lima Metropolitana,79,19,24
2934,Lima Metropolitana,91,19,22
1637,Piura,51,24,24
2909,Lima Metropolitana,83,24,29
2424,Piura,98,35,31
3005,Lima Metropolitana,84,29,29
2947,Lima Metropolitana,81,16,28
470,Loreto,57,19,18
2951,Lima Metropolitana,92,23,24
1817,Loreto,57,24,27
1983,Cusco,47,21,20
2419,Piura,61,22,22
3030,Lima Metropolitana,88,34,21
1956,Loreto,125,48,36
1572,Loreto,67,31,24
477,Loreto,59,20,18
473,Loreto,60,20,18
1342,Loreto,33,12,16
3504,Lima Metropolitana,46,22,21
3513,Lima Metropolitana,93,38,22
3515,Lima Metropolitana,82,30,23
3510,Lima Metropolitana,98,37,21
3505,Lima Metropolitana,65,26,22
3507,Lima Metropolitana,78,32,21
3514,Lima Metropolitana,84,32,23
3508,Lima Metropolitana,77,30,21
3511,Lima Metropolitana,71,30,20
3509,Lima Metropolitana,65,28,18
3516,Lima Metropolitana,81,33,18
3518,Lima Metropolitana,51,23,17
3517,Lima Metropolitana,76,28,22
3512,Lima Metropolitana,69,28,24
