Código,Departamento,Escala_Cog.,Escala_Mot.,Escala_Dis.
2033,Loreto,64,23,21
2042,Loreto,65,24,22
2036,Loreto,48,21,14
2072,Loreto,45,19,15
1978,Loreto,54,25,23
3253,Lima Metropolitana,113,39,29
3156,Lima Metropolitana,87,26,31
1575,Loreto,61,22,20
1890,Piura,58,27,25
1068,Loreto,131,48,35
1067,Loreto,118,48,36
3067,Lima Metropolitana,135,44,33
3044,Lima Metropolitana,74,26,22
2165,Loreto,103,38,26
2154,Loreto,77,28,19
3057,Lima Metropolitana,68,30,16
2163,Loreto,105,41,26
3064,Lima Metropolitana,136,47,36
3056,Lima Metropolitana,128,44,35
3050,Lima Metropolitana,74,27,16
3059,Lima Metropolitana,127,34,29
2162,Loreto,90,26,26
2153,Loreto,107,36,30
3090,Lima Metropolitana,69,31,22
1723,Piura,53,25,22
3054,Lima Metropolitana,91,34,21
2168,Loreto,110,40,30
3076,Lima Metropolitana,81,35,26
3045,Lima Metropolitana,59,27,21
3094,Lima Metropolitana,74,31,20
2157,Loreto,83,32,29
2166,Loreto,99,35,30
2167,Loreto,96,30,29
3091,Lima Metropolitana,85,31,26
3049,Lima Metropolitana,93,34,25
3281,Lima Metropolitana,80,32,24
2136,Cusco,43,20,18
2161,Loreto,61,20,18
3082,Lima Metropolitana,68,30,20
3053,Lima Metropolitana,90,34,25
2158,Loreto,73,30,21
1620,Piura,64,33,24
3060,Lima Metropolitana,97,34,28
3093,Lima Metropolitana,74,30,22
2160,Loreto,68,28,20
3046,Lima Metropolitana,104,37,25
2164,Loreto,101,36,29
3061,Lima Metropolitana,100,32,29
3072,Lima Metropolitana,95,28,24
3206,Lima Metropolitana,101,33,36
3120,Lima Metropolitana,86,26,33
1430,Cusco,77,26,24
805,Loreto,48,24,26
2865,Lima Metropolitana,75,29,26
511,Cusco,54,18,27
1896,Piura,65,31,24
2485,Piura,76,33,25
1648,Piura,88,30,35
1581,Loreto,76,28,21
2217,Piura,117,42,36
1909,Cusco,60,30,23
1954,Loreto,102,36,32
1659,Cusco,88,39,36
1497,Cusco,60,26,25
1344,Loreto,36,14,20
1343,Loreto,29,13,20
1937,Loreto,74,27,33
3233,Lima Metropolitana,113,44,31
2021,Loreto,65,33,28
1820,Loreto,54,23,25
647,Cusco,52,21,22
1591,Loreto,80,33,27
2541,Piura,82,30,23
187,Cusco,73,31,33
898,Cusco,71,21,20
3141,Lima Metropolitana,111,37,35
1794,Piura,77,34,30
2065,Loreto,91,27,24
2074,Loreto,36,14,6
1737,Piura,71,29,24
2435,Piura,53,22,20
122,Cusco,60,20,21
1168,Loreto,39,18,26
3385,Lima Metropolitana,80,28,34
139,Cusco,74,24,35
1902,Cusco,67,30,23
3506,Lima Metropolitana,90,28,31
1147,Piura,60,24,15
131,Cusco,83,29,24
1943,Loreto,64,26,23
74,Piura,42,25,21
1641,Piura,50,18,27
1600,Loreto,66,26,24
1330,Loreto,47,19,22
1499,Cusco,92,39,27
3196,Lima Metropolitana,121,33,36
1583,Loreto,67,27,23
3405,Lima Metropolitana,122,42,36
3191,Lima Metropolitana,76,24,33
1580,Loreto,55,18,23
3115,Lima Metropolitana,56,27,33
128,Cusco,63,29,21
899,Cusco,63,23,22
3095,Lima Metropolitana,111,45,30
440,Piura,45,24,20
1797,Cusco,55,29,23
2312,Piura,116,43,34
1923,Piura,68,32,27
2545,Piura,88,31,23
1742,Piura,62,25,23
2583,Cusco,97,28,25
490,Piura,102,30,30
3099,Lima Metropolitana,105,41,29
456,Piura,72,27,25
1503,Cusco,64,22,19
2580,Cusco,68,27,22
1825,Loreto,63,29,33
498,Piura,100,40,30
1496,Cusco,61,23,18
1594,Loreto,108,39,30
3125,Lima Metropolitana,79,32,29
455,Piura,82,25,26
2302,Piura,122,42,36
315,Piura,48,17,23
667,Loreto,89,33,28
3230,Lima Metropolitana,108,42,31
3502,Lima Metropolitana,93,29,34
1335,Loreto,46,15,26
646,Cusco,60,24,29
523,Cusco,57,22,26
1915,Cusco,64,29,32
3031,Lima Metropolitana,70,33,23
2548,Piura,75,31,24
2124,Piura,48,21,21
2037,Loreto,67,23,21
2014,Loreto,106,39,29
3039,Lima Metropolitana,116,43,30
1338,Loreto,35,12,24
1587,Loreto,51,27,17
191,Cusco,95,46,33
1802,Cusco,59,35,29
458,Piura,65,23,18
1341,Loreto,50,22,26
2017,Loreto,83,30,28
2016,Loreto,76,31,27
142,Cusco,81,23,34
1832,Piura,59,29,23
3026,Lima Metropolitana,66,26,27
47,Piura,45,27,24
438,Piura,84,25,28
2026,Loreto,89,39,27
2062,Piura,84,36,29
1631,Piura,48,20,24
1901,Cusco,93,33,32
2929,Lima Metropolitana,102,35,33
2229,Piura,103,35,33
189,Cusco,104,39,33
190,Cusco,50,15,21
2871,Lima Metropolitana,79,33,26
1148,Piura,60,21,15
3366,Lima Metropolitana,115,37,36
3020,Lima Metropolitana,81,28,26
1738,Piura,63,28,23
70,Piura,41,18,21
181,Cusco,45,20,20
3098,Lima Metropolitana,113,43,31
1584,Loreto,82,30,24
892,Cusco,53,12,18
2319,Piura,88,34,34
188,Cusco,102,37,33
136,Cusco,94,23,36
141,Cusco,81,27,35
1642,Piura,87,32,31
1170,Loreto,33,13,21
3100,Lima Metropolitana,82,37,28
1599,Loreto,54,24,25
1730,Piura,64,28,23
3155,Lima Metropolitana,119,42,35
203,Cusco,111,44,34
2383,Piura,72,29,26
3503,Lima Metropolitana,111,39,28
3287,Lima Metropolitana,85,39,27
2440,Piura,103,32,34
1953,Loreto,64,25,24
3262,Lima Metropolitana,82,35,30
2307,Piura,65,37,29
3121,Lima Metropolitana,102,33,33
2150,Piura,50,24,21
125,Cusco,69,24,17
126,Cusco,47,19,17
1686,Cusco,81,32,33
1639,Piura,94,33,34
198,Cusco,92,40,32
173,Cusco,44,23,23
2474,Piura,82,33,26
140,Cusco,89,29,36
2898,Lima Metropolitana,89,29,26
442,Piura,66,29,22
1643,Piura,102,37,32
1255,Cusco,88,28,26
3193,Lima Metropolitana,84,38,29
806,Loreto,41,23,24
2486,Piura,74,33,25
673,Loreto,74,32,32
1270,Cusco,67,23,22
2543,Piura,82,30,23
1206,Cusco,52,19,26
2994,Lima Metropolitana,97,36,29
1741,Piura,64,26,23
439,Piura,56,23,18
2004,Cusco,85,32,25
119,Cusco,78,32,21
206,Cusco,125,40,35
45,Piura,37,25,24
1680,Cusco,66,23,35
124,Cusco,77,33,26
1653,Cusco,117,42,33
194,Cusco,54,16,19
1508,Cusco,72,25,18
2297,Piura,96,35,33
2177,Piura,50,24,22
1647,Piura,107,28,36
494,Piura,80,24,29
890,Cusco,59,25,22
644,Cusco,59,21,25
313,Piura,59,21,19
1721,Piura,76,30,27
808,Loreto,59,27,25
514,Cusco,55,17,25
804,Loreto,46,31,29
130,Cusco,74,30,28
2029,Loreto,75,34,27
1834,Piura,58,28,21
1729,Piura,70,32,23
2044,Loreto,76,26,24
1994,Cusco,73,25,26
2311,Piura,87,37,30
659,Loreto,79,32,30
212,Loreto,82,26,24
517,Cusco,57,22,28
2496,Piura,85,29,24
632,Piura,69,27,30
1046,Loreto,86,35,28
459,Piura,83,28,27
2002,Cusco,89,29,28
1717,Piura,71,29,23
2439,Piura,113,41,29
1920,Piura,52,26,20
3017,Lima Metropolitana,101,32,26
2134,Cusco,38,14,13
211,Loreto,64,24,19
44,Piura,30,24,23
2428,Piura,89,26,28
2426,Piura,74,23,29
2022,Loreto,83,37,29
1500,Cusco,75,25,29
1272,Cusco,72,26,25
137,Cusco,61,19,27
1142,Piura,60,24,23
127,Cusco,58,25,22
2493,Piura,48,21,18
1340,Loreto,42,18,23
1910,Cusco,69,30,32
2417,Piura,53,18,13
1339,Loreto,47,16,24
3134,Lima Metropolitana,108,31,36
1893,Piura,35,19,17
1903,Cusco,68,32,25
1592,Loreto,95,35,26
2012,Loreto,75,32,31
174,Cusco,51,16,22
3433,Lima Metropolitana,105,42,36
3137,Lima Metropolitana,113,35,35
1145,Piura,61,24,14
1998,Cusco,84,28,26
2582,Cusco,64,28,25
2497,Piura,83,27,24
3028,Lima Metropolitana,84,28,28
1266,Piura,71,31,27
2999,Lima Metropolitana,48,25,20
2872,Lima Metropolitana,42,22,20
2470,Piura,57,26,22
120,Cusco,51,18,18
453,Piura,50,25,20
185,Cusco,128,47,25
1609,Loreto,67,27,26
46,Piura,41,25,22
3029,Lima Metropolitana,95,38,26
445,Piura,56,24,20
3117,Lima Metropolitana,122,40,36
491,Piura,120,37,31
2575,Cusco,86,22,21
2013,Loreto,72,36,27
488,Piura,46,24,29
2064,Loreto,78,28,24
582,Cusco,44,23,18
656,Loreto,63,24,31
1346,Loreto,41,16,20
1146,Piura,55,24,13
132,Cusco,46,19,17
1590,Loreto,87,37,28
628,Piura,54,15,25
2546,Piura,89,32,23
2058,Piura,94,41,33
510,Cusco,47,17,26
2228,Piura,65,21,26
660,Loreto,76,31,29
666,Loreto,86,32,28
1833,Piura,61,29,25
2995,Lima Metropolitana,112,33,30
1564,Piura,64,24,18
2215,Piura,95,23,23
1595,Loreto,88,37,30
2492,Piura,59,27,22
1065,Piura,73,31,26
1799,Cusco,68,31,24
461,Piura,62,24,21
1732,Piura,54,17,22
497,Piura,108,37,31
1654,Cusco,51,19,27
75,Piura,43,30,22
664,Loreto,77,29,31
186,Cusco,98,42,33
1596,Loreto,84,36,29
1162,Piura,63,24,18
113,Piura,29,17,20
1150,Piura,66,24,17
1332,Loreto,58,21,24
2296,Piura,90,40,33
1823,Loreto,51,26,27
767,Cusco,57,17,24
1597,Loreto,70,31,29
2549,Piura,73,27,21
2063,Loreto,74,28,22
3237,Lima Metropolitana,91,39,27
2491,Piura,74,32,23
3132,Lima Metropolitana,78,33,30
3119,Lima Metropolitana,91,26,33
2465,Piura,88,18,24
1942,Loreto,57,27,23
1563,Piura,53,24,17
3027,Lima Metropolitana,81,35,26
1577,Loreto,62,21,22
1506,Cusco,66,22,18
1999,Cusco,84,30,26
3118,Lima Metropolitana,99,32,36
48,Piura,38,14,24
2149,Piura,51,24,23
1582,Loreto,70,25,25
3146,Lima Metropolitana,83,26,32
460,Piura,83,29,27
1725,Piura,52,19,20
1726,Piura,52,18,20
1573,Loreto,56,17,22
516,Cusco,49,22,27
2566,Loreto,94,27,33
620,Piura,55,17,17
2020,Loreto,65,36,28
2869,Lima Metropolitana,104,33,27
2845,Lima Metropolitana,113,37,31
1895,Piura,67,28,21
2487,Piura,59,27,23
