Código,Escala_Cog.,Escala_Mot.,Escala_Dis.,Edad_Mes,Región,Modalidad,Departamento,Quintil,Inst_Mat.,Inst_Mat_N
2950,135,29,20,69,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2952,118,30,18,69,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2955,115,26,15,66,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2957,93,23,17,69,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2958,128,23,19,66,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2960,129,26,29,65,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2961,104,30,17,68,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2963,58,17,20,66,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2964,126,30,28,66,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2965,85,28,24,56,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2966,110,15,23,63,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2967,134,32,19,71,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2969,130,32,26,64,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2972,143,33,24,70,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2973,145,31,30,67,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2974,142,33,29,76,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2975,99,27,23,72,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2976,145,32,31,70,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2977,121,31,26,67,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2978,125,27,20,77,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2979,154,35,30,71,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2980,88,32,23,63,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2981,115,30,25,72,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2982,144,32,21,67,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2983,116,32,25,54,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2984,112,29,19,70,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2985,109,28,20,71,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2986,125,30,23,62,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2987,93,34,30,74,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2988,85,19,18,55,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2989,85,20,17,76,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
2990,155,36,31,71,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
