"Código","Cuatrimestre","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
2645,"1 (Ene-Mar)",129,28,64,30
2651,"4 (Oct-Dic)",112,27,62,25
2652,"3 (Jul-Sep)",107,30,60,26
2655,"3 (Jul-Sep)",121,27,68,31
2669,"2 (Abr-Jun)",120,29,76,31
2670,"4 (Oct-Dic)",105,26,63,29
2673,"2 (Abr-Jun)",149,35,70,32
2685,"2 (Abr-Jun)",101,29,58,26
2686,"4 (Oct-Dic)",117,29,62,31
2687,"1 (Ene-Mar)",113,23,58,28
2688,"1 (Ene-Mar)",108,31,67,32
2689,"2 (Abr-Jun)",121,28,54,29
2690,"2 (Abr-Jun)",139,25,71,33
2691,"2 (Abr-Jun)",121,28,64,30
2692,"2 (Abr-Jun)",131,34,68,35
2693,"4 (Oct-Dic)",96,22,58,28
2694,"4 (Oct-Dic)",112,28,62,27
2695,"2 (Abr-Jun)",117,30,66,30
2696,"2 (Abr-Jun)",139,23,69,32
2697,"1 (Ene-Mar)",88,26,63,23
2700,"2 (Abr-Jun)",130,28,70,35
2702,"3 (Jul-Sep)",116,26,66,27
2703,"3 (Jul-Sep)",105,33,71,31
2706,"1 (Ene-Mar)",107,29,66,32
2708,"2 (Abr-Jun)",128,32,71,34
2711,"1 (Ene-Mar)",123,25,66,31
2712,"3 (Jul-Sep)",122,32,72,33
2714,"4 (Oct-Dic)",136,29,64,33
2715,"4 (Oct-Dic)",103,24,61,24
2718,"2 (Abr-Jun)",114,31,62,25
2720,"3 (Jul-Sep)",125,33,67,33
2721,"3 (Jul-Sep)",83,22,57,19
2724,"1 (Ene-Mar)",120,29,73,25
2725,"3 (Jul-Sep)",110,31,70,28
2730,"2 (Abr-Jun)",121,29,66,27
2734,"1 (Ene-Mar)",114,28,65,29
2735,"2 (Abr-Jun)",140,31,77,34
2740,"1 (Ene-Mar)",101,21,55,23
2741,"4 (Oct-Dic)",136,35,77,33
2742,"1 (Ene-Mar)",111,30,72,27
2744,"3 (Jul-Sep)",142,34,72,32
2745,"4 (Oct-Dic)",131,28,68,33
2747,"3 (Jul-Sep)",98,24,64,27
2750,"4 (Oct-Dic)",132,33,74,36
2752,"3 (Jul-Sep)",111,31,65,28
2755,"1 (Ene-Mar)",95,23,62,27
2757,"1 (Ene-Mar)",86,20,59,18
2759,"1 (Ene-Mar)",76,20,61,18
2764,"1 (Ene-Mar)",117,30,71,30
2765,"3 (Jul-Sep)",120,32,75,30
2767,"3 (Jul-Sep)",143,32,67,29
2774,"2 (Abr-Jun)",115,27,70,32
2775,"4 (Oct-Dic)",78,28,62,27
2777,"2 (Abr-Jun)",114,29,68,28
2778,"4 (Oct-Dic)",97,25,69,28
2780,"3 (Jul-Sep)",120,27,71,30
2783,"4 (Oct-Dic)",110,28,70,31
2785,"2 (Abr-Jun)",125,25,75,31
3252,"4 (Oct-Dic)",107,33,65,25
3258,"3 (Jul-Sep)",87,30,59,22
3284,"4 (Oct-Dic)",93,28,56,23
3290,"1 (Ene-Mar)",73,24,55,19
1072,"3 (Jul-Sep)",146,36,67,34
939,"2 (Abr-Jun)",143,30,43,30
940,"3 (Jul-Sep)",145,31,44,30
3330,"2 (Abr-Jun)",98,31,54,22
3446,"2 (Abr-Jun)",86,27,59,19
2115,"4 (Oct-Dic)",50,22,54,13
2117,"1 (Ene-Mar)",59,23,53,24
534,"3 (Jul-Sep)",49,14,49,19
540,"3 (Jul-Sep)",71,23,56,23
