"Código","Región","Escala_Cog.","Escala_Mot.","Escala_Dis."
2873,"Costa",112,35,33
2867,"Costa",79,33,27
2945,"Costa",79,19,24
2934,"Costa",91,19,22
1637,"Costa",51,24,24
2909,"Costa",83,24,29
2424,"Sierra",98,35,31
3005,"Costa",84,29,29
2947,"Costa",81,16,28
470,"Selva",57,19,18
2951,"Costa",92,23,24
1817,"Selva",57,24,27
1983,"Sierra",47,21,20
2419,"Sierra",61,22,22
3030,"Costa",88,34,21
1956,"Selva",125,48,36
1572,"Selva",67,31,24
477,"Selva",59,20,18
473,"Selva",60,20,18
1342,"Selva",33,12,16
3504,"Costa",46,22,21
3513,"Costa",93,38,22
3515,"Costa",82,30,23
3510,"Costa",98,37,21
3505,"Costa",65,26,22
3507,"Costa",78,32,21
3514,"Costa",84,32,23
3508,"Costa",77,30,21
3511,"Costa",71,30,20
3509,"Costa",65,28,18
3516,"Costa",81,33,18
3518,"Costa",51,23,17
3517,"Costa",76,28,22
3512,"Costa",69,28,24
