"Código","Región","Escala_Cog.","Escala_Mot.","Escala_Dis."
2161,"Selva",61,20,18
3082,"Costa",68,30,20
3053,"Costa",90,34,25
2158,"Selva",73,30,21
1620,"Sierra",64,33,24
3060,"Costa",97,34,28
3093,"Costa",74,30,22
2160,"Selva",68,28,20
3046,"Costa",104,37,25
2164,"Selva",101,36,29
3061,"Costa",100,32,29
3072,"Costa",95,28,24
3206,"Costa",101,33,36
3120,"Costa",86,26,33
1430,"Sierra",77,26,24
805,"Selva",48,24,26
2865,"Costa",75,29,26
511,"Sierra",54,18,27
1896,"Costa",65,31,24
2485,"Costa",76,33,25
1648,"Costa",88,30,35
1581,"Selva",76,28,21
2217,"Sierra",117,42,36
1909,"Selva",60,30,23
1954,"Selva",102,36,32
1659,"Selva",88,39,36
1497,"Selva",60,26,25
1344,"Selva",36,14,20
1343,"Selva",29,13,20
1937,"Selva",74,27,33
3233,"Costa",113,44,31
2021,"Selva",65,33,28
1820,"Selva",54,23,25
647,"Sierra",52,21,22
1591,"Selva",80,33,27
2541,"Sierra",82,30,23
187,"Sierra",73,31,33
898,"Sierra",71,21,20
3141,"Costa",111,37,35
1794,"Sierra",77,34,30
2065,"Selva",91,27,24
2074,"Selva",36,14,6
1737,"Costa",71,29,24
2435,"Sierra",53,22,20
122,"Selva",60,20,21
1168,"Selva",39,18,26
3385,"Costa",80,28,34
139,"Sierra",74,24,35
1902,"Selva",67,30,23
3506,"Costa",90,28,31
1147,"Sierra",60,24,15
131,"Selva",83,29,24
1943,"Selva",64,26,23
74,"Costa",42,25,21
1641,"Costa",50,18,27
1600,"Selva",66,26,24
1330,"Selva",47,19,22
1499,"Selva",92,39,27
3196,"Costa",121,33,36
1583,"Selva",67,27,23
3405,"Costa",122,42,36
3191,"Costa",76,24,33
1580,"Selva",55,18,23
3115,"Costa",56,27,33
128,"Selva",63,29,21
899,"Sierra",63,23,22
3095,"Costa",111,45,30
440,"Costa",45,24,20
1797,"Selva",55,29,23
2312,"Costa",116,43,34
1923,"Costa",68,32,27
2545,"Sierra",88,31,23
1742,"Costa",62,25,23
2583,"Selva",97,28,25
490,"Sierra",102,30,30
3099,"Costa",105,41,29
456,"Costa",72,27,25
1503,"Selva",64,22,19
2580,"Selva",68,27,22
1825,"Selva",63,29,33
498,"Sierra",100,40,30
1496,"Selva",61,23,18
1594,"Selva",108,39,30
3125,"Costa",79,32,29
455,"Costa",82,25,26
2302,"Costa",122,42,36
315,"Costa",48,17,23
667,"Selva",89,33,28
3230,"Costa",108,42,31
3502,"Costa",93,29,34
1335,"Selva",46,15,26
646,"Sierra",60,24,29
523,"Sierra",57,22,26
1915,"Selva",64,29,32
3031,"Costa",70,33,23
2548,"Sierra",75,31,24
2124,"Costa",48,21,21
2037,"Selva",67,23,21
2014,"Selva",106,39,29
3039,"Costa",116,43,30
1338,"Selva",35,12,24
1587,"Selva",51,27,17
191,"Sierra",95,46,33
1802,"Selva",59,35,29
458,"Costa",65,23,18
1341,"Selva",50,22,26
2017,"Selva",83,30,28
2016,"Selva",76,31,27
142,"Sierra",81,23,34
1832,"Costa",59,29,23
3026,"Costa",66,26,27
47,"Costa",45,27,24
438,"Costa",84,25,28
2026,"Selva",89,39,27
2062,"Costa",84,36,29
1631,"Costa",48,20,24
1901,"Selva",93,33,32
2929,"Costa",102,35,33
2229,"Sierra",103,35,33
189,"Sierra",104,39,33
190,"Sierra",50,15,21
2871,"Costa",79,33,26
1148,"Sierra",60,21,15
3366,"Costa",115,37,36
3020,"Costa",81,28,26
1738,"Costa",63,28,23
70,"Costa",41,18,21
181,"Sierra",45,20,20
3098,"Costa",113,43,31
1584,"Selva",82,30,24
892,"Sierra",53,12,18
2319,"Costa",88,34,34
188,"Sierra",102,37,33
136,"Sierra",94,23,36
141,"Sierra",81,27,35
1642,"Costa",87,32,31
1170,"Selva",33,13,21
3100,"Costa",82,37,28
1599,"Selva",54,24,25
1730,"Costa",64,28,23
3155,"Costa",119,42,35
